thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|kdjnsban|kdctarik|register|carahitung|prosenphln|prosenrkp|prosenrmp|kppnrkp|kppnrmp|kppnphln|regdam|kdluncuran|kdblokir|uraiblokir|kdib
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AB|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AC|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AC|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AC|524119|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AD|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AD|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AE|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AE|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AF|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AF|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AG|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AH|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AH|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AI|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AI|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AI|524113|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AJ|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AK|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|AK|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CA|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CA|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CB|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CB|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
