thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|kdjnsban|kdctarik|register|carahitung|prosenphln|prosenrkp|prosenrmp|kppnrkp|kppnrmp|kppnphln|regdam|kdluncuran|kdblokir|uraiblokir|kdib
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521113|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521119|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| D|523121|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002|TJ|523121|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|002|100| A|524113|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|015116|015|08|WA|4719|EBA|01|51|2|994|001| A|511129|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|015116|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|015116|015|08|WA|4719|EBC|01|51|2|001|100|XC|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|BMB|32|52|2|001|100| A|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|BMB|32|52|2|001|100| B|521211|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|BMB|32|52|2|001|100| B|522151|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|BMB|32|52|2|001|100| B|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|BMB|32|52|2|001|100| C|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|BMB|32|52|2|001|100| D|521211|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|BMB|32|52|2|001|100| D|522141|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAC|32|52|2|002|100| A|524111|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAC|32|52|2|002|100| A|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAC|32|52|2|002|100| B|524111|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAC|32|52|2|002|100| B|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAH|32|52|2|003|100| A|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAH|32|52|2|003|100| B|524111|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAH|32|52|2|003|100| B|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAH|32|52|2|002|100| A|521211|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAH|32|52|2|002|100| B|524111|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAH|32|52|2|002|100| B|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAH|32|52|2|002|100| C|522151|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAH|32|52|2|002|100| C|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| A|524111|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| A|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| B|521211|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| B|522151|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| C|524111|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| C|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| D|521211|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| D|521213|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| D|522151|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| D|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6213|ABA|32|52|2|001|100| A|522151|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6213|ABA|32|52|2|001|100| A|524111|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6213|FAE|32|52|2|009|100| B|524111|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6213|FAE|32|52|2|009|100| B|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6213|FAE|32|52|2|009|100| C|524111|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6213|FAE|32|52|2|009|100| C|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6213|FAE|32|52|2|009|100| D|521211|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6213|FAE|32|52|2|009|100| D|522151|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6213|FAE|32|52|2|009|100| D|524113|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6213|FAE|32|52|2|008|100| A|522151|009|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|325237|015|08|CD|6213|FAE|32|52|2|008|100| A|524111|009|A|0|0| |0|0|0|0| | | | ||00||0
