thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|urskmpnen|kdib|kdlokus|reflokus|nmlokus
2027|01|015115|015|08|CD|6212|FAL|01|51|2|004|100| A|Konsultasi|00||0|0
2027|01|015115|015|08|CD|6212|FAL|01|51|2|004|100| B|Sosialisasi dan Bimbingan Teknis|00||0|0
2027|01|015115|015|08|CD|6213|FAE|01|51|2|Q06|100| A|Pembinaan Jabatan Fungsional Perbendaharaan|00||0|0
2027|01|015115|015|08|CD|6213|FAL|01|51|2|003|100| A|Monev Pelaksanaan Anggaran|00||0|0
2027|01|015115|015|08|WA|4715|EBA|01|51|2|959|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015115|015|08|WA|4715|EBA|01|51|2|962|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015115|015|08|WA|4715|EBA|01|51|2|962|100| B|Koordinasi Penyusunan ATK PU|00||0|0
2027|01|015115|015|08|WA|4715|EBA|01|51|2|994|002| A|Pelaksanaan Operasional Kantor|00||0|0
2027|01|015115|015|08|WA|4715|EBA|01|51|2|994|002| B|Langganan Daya dan Jasa|00||0|0
2027|01|015115|015|08|WA|4715|EBA|01|51|2|994|002|HP|Honorarium PPNPN|00||0|0
2027|01|015115|015|08|WA|4715|EBA|01|51|2|994|002| L|Pemeliharaan Peralatan dan Mesin|00||0|0
2027|01|015115|015|08|WA|4715|EBA|01|51|2|994|002|TJ|Jasa Pemeliharaan/Annual Technical Support (ATS)|00||0|0
2027|01|015115|015|08|WA|4715|EBD|01|51|2|Z36|100| B|Pelaksanaan Manajemen Kinerja, Resiko dan Kepatuhan Internal|00||0|0
2027|01|015115|015|08|WA|4718|BMB|01|51|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015115|015|08|WA|4719|EBA|01|51|2|994|001| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015115|015|08|WA|4719|EBA|01|51|2|Z08|100| A|Survey Kepuasan Pengguna Layanan|00||0|0
2027|01|015115|015|08|WA|4719|EBC|01|51|2|Z12|100|XC|Penyelenggaraan Capacity Building|00||0|0
2027|01|015115|015|08|CD|6212|FAC|01|51|2|001|100| A|Training Modul Aplikasi SAKTI|00||0|0
2027|01|015115|015|08|CD|6212|FAC|01|51|2|009|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|015115|015|08|CD|6212|BDG|01|51|2|001|100| A|Profilling UMKM|00||0|0
2027|01|015115|015|08|CD|6215|FAL|01|51|2|003|100| A|Penyusunan Laporan Keuangan Tingkat Kuasa BUN di Daerah|00||0|0
2027|01|015115|015|08|CD|6215|FAL|01|51|2|003|100| B|Koordinasi UAKBUN-D KPPN di Kanwil|00||0|0
