thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|ursoutput|sbmkvol|sbmksat|sbmkmin1|sbmkket|kdsb|volsout|volsbk|kdib
2026|01|527322|015|08|WA|4718|BMB|03|09|2|001|Pembinaan/Edukasi Publik|0||0|||2|0|00
2026|01|527322|015|08|WA|4718|BMB|03|09|2|002|Kehumasan|0||0|||1|0|00
2026|01|527322|015|08|WA|4719|EBA|03|09|2|004|Hasil Survey/Rekomendasi Kepuasan Pengguna Layanan|0||0|||2|0|00
2026|01|527322|015|08|WA|4719|EBA|03|09|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|527322|015|08|WA|4719|EBC|03|09|2|001|Pengembangan SDM|0||0|||22|0|00
2026|01|527322|015|08|WA|4715|EBB|03|09|2|004|Gedung/Bangunan|0||0|||160|0|00
2026|01|527713|015|08|CD|6213|FAC|07|56|2|001|Monev Pengembangan Kompetensi KPA, PPK, PPSPM, Bendahara dan Pengelola Perbendaharaan|0||0|||9|0|00
2026|01|527713|015|08|CD|6213|FAE|07|56|2|009|Rekomendasi atas Kinerja Investasi Pemerintah|0||0|||2|0|00
2026|01|527713|015|08|CD|6213|FAL|07|56|2|003|Reviu Belanja Pemerintah|0||0|||1|0|00
2026|01|527713|015|08|CD|6214|FAL|07|56|2|002|Surat Perintah Pencairan/Penarikan/Repayment/Pengesahan Dana|0||0|||1176|0|00
2026|01|527713|015|08|CD|6215|FAH|07|56|2|003|Laporan Keuangan BUN|0||0|||4|0|00
2026|01|527713|015|08|WA|4715|EBA|07|56|2|001|Kerumahtanggaan|0||0|||12|0|00
2026|01|527713|015|08|WA|4715|EBA|07|56|2|002|Dukungan Pimpinan dan Keprotokoleran|0||0|||12|0|00
2026|01|527713|015|08|WA|4715|EBA|07|56|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|527713|015|08|WA|4715|EBD|07|56|2|Z36|Dokumen Pengelolaan Kinerja Organisasi|0||0|||2|0|00
2026|01|527713|015|08|WA|4718|BMB|07|56|2|002|Kehumasan|0||0|||1|0|00
2026|01|527713|015|08|WA|4718|BMB|07|56|2|001|Pembinaan/Edukasi Publik|0||0|||2|0|00
2026|01|527713|015|08|WA|4719|EBA|07|56|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|527713|015|08|WA|4719|EBA|07|56|2|004|Hasil Survey/Rekomendasi Kepuasan Pengguna Layanan|0||0|||2|0|00
2026|01|527713|015|08|WA|4719|EBC|07|56|2|001|Pengembangan SDM|0||0|||13|0|00
2026|01|527713|015|08|CD|6212|BMB|07|56|2|001|Dukungan Pemberdayaan UMKM untuk Inklusi Pemanfaatan Digipay|0||0|||1|0|00
2026|01|527713|015|08|CD|6212|FAC|07|56|2|001|Komunikasi dan Edukasi Implementasi Aplikasi|0||0|||27|0|00
2026|01|527713|015|08|CD|6212|FAH|07|56|2|001|Edukasi Dalam Rangka Penyusunan Laporan Keuangan Tingkat Kuasa BUN|0||0|||4|0|00
2026|01|527713|015|08|CD|6212|FAL|07|56|2|004|Konsultasi Pencairan Dana|0||0|||9|0|00
2026|01|527713|015|08|WA|4715|EBB|07|56|2|002|Peralatan Fasilitas Perkantoran|0||0|||3|0|00
2026|01|528722|015|08|CD|6212|BMB|33|51|2|001|Dukungan Pemberdayaan UMKM untuk Inklusi Pemanfaatan Digipay|0||0|||1|0|00
2026|01|528722|015|08|CD|6212|FAC|33|51|2|001|Komunikasi dan Edukasi Implementasi Aplikasi|0||0|||78|0|00
2026|01|528722|015|08|CD|6212|FAH|33|51|2|001|Edukasi Dalam Rangka Penyusunan Laporan Keuangan Tingkat Kuasa BUN|0||0|||4|0|00
2026|01|528722|015|08|CD|6212|FAL|33|51|2|004|Konsultasi Pencairan Dana|0||0|||9|0|00
2026|01|528722|015|08|CD|6213|FAC|33|51|2|001|Monev Pengembangan Kompetensi KPA, PPK, PPSPM, Bendahara dan Pengelola Perbendaharaan|0||0|||10|0|00
2026|01|528722|015|08|CD|6213|FAE|33|51|2|009|Rekomendasi atas Kinerja Investasi Pemerintah|0||0|||2|0|00
2026|01|528722|015|08|CD|6213|FAL|33|51|2|003|Reviu Belanja Pemerintah|0||0|||1|0|00
2026|01|528722|015|08|CD|6214|FAL|33|51|2|002|Surat Perintah Pencairan/Penarikan/Repayment/Pengesahan Dana|0||0|||3408|0|00
2026|01|528722|015|08|CD|6215|FAH|33|51|2|003|Laporan Keuangan BUN|0||0|||4|0|00
2026|01|528722|015|08|WA|4715|EBA|33|51|2|001|Kerumahtanggaan|0||0|||12|0|00
2026|01|528722|015|08|WA|4715|EBA|33|51|2|002|Dukungan Pimpinan dan Keprotokoleran|0||0|||12|0|00
2026|01|528722|015|08|WA|4715|EBA|33|51|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|528722|015|08|WA|4715|EBD|33|51|2|Z36|Dokumen Pengelolaan Kinerja Organisasi|0||0|||2|0|00
2026|01|528722|015|08|WA|4718|BMB|33|51|2|001|Pembinaan/Edukasi Publik|0||0|||2|0|00
2026|01|528722|015|08|WA|4718|BMB|33|51|2|002|Kehumasan|0||0|||1|0|00
2026|01|528722|015|08|WA|4719|EBA|33|51|2|004|Hasil Survey/Rekomendasi Kepuasan Pengguna Layanan|0||0|||2|0|00
2026|01|528722|015|08|WA|4719|EBA|33|51|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|528722|015|08|WA|4719|EBC|33|51|2|001|Pengembangan SDM|0||0|||19|0|00
2026|01|528722|015|08|WA|6990|ABA|33|51|2|001|Rekomendasi Kebijakan terkait Percepatan Pembangunan dan Otonomi Khusus Papua|0||0|||4|0|00
2026|01|528722|015|08|WA|4715|EBB|33|51|2|004|Gedung/Bangunan|0||0|||146|0|00
2026|01|528544|015|08|CD|6212|BMB|22|51|2|001|Dukungan Pemberdayaan UMKM untuk Inklusi Pemanfaatan Digipay|0||0|||1|0|00
2026|01|528544|015|08|CD|6212|FAC|22|51|2|002|Bimbingan Teknis Pengelola Keuangan BLU|0||0|||118|0|00
2026|01|528544|015|08|CD|6212|FAH|22|51|2|003|Komunikasi dan Edukasi Penyusunan LKKL dan LKBUN|0||0|||4|0|00
2026|01|528544|015|08|CD|6212|FAH|22|51|2|002|Komunikasi dan Edukasi Dalam Rangka Penyusunan Government Financial Statistic (GFS)|0||0|||7|0|00
2026|01|528544|015|08|CD|6212|FAL|22|51|2|001|Pembinaan Pelaksanaan Anggaran|0||0|||8|0|00
2026|01|528544|015|08|CD|6213|ABA|22|51|2|001|Kajian atas Peluang Investasi dan Pinjaman Daerah|0||0|||2|0|00
2026|01|528544|015|08|CD|6213|FAE|22|51|2|009|Rekomendasi atas Kinerja Investasi Pemerintah|0||0|||2|0|00
2026|01|528544|015|08|CD|6213|FAE|22|51|2|008|ALCo Regional|0||0|||2|0|00
2026|01|528544|015|08|CD|6213|FAL|22|51|2|003|Reviu Belanja Pemerintah|0||0|||4|0|00
2026|01|528544|015|08|CD|6215|FAH|22|51|2|003|Laporan Keuangan BUN|0||0|||4|0|00
2026|01|528544|015|08|CD|6215|FAH|22|51|2|001|Government Financial Statistic (GFS)|0||0|||4|0|00
2026|01|528544|015|08|CD|6216|FAE|22|51|2|002|Rekomendasi Tarif Standar Biaya Masukan|0||0|||1|0|00
2026|01|528544|015|08|WA|4715|EBA|22|51|2|001|Kerumahtanggaan|0||0|||12|0|00
2026|01|528544|015|08|WA|4715|EBA|22|51|2|002|Dukungan Pimpinan dan Keprotokoleran|0||0|||12|0|00
2026|01|528544|015|08|WA|4715|EBA|22|51|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|528544|015|08|WA|4715|EBD|22|51|2|Z36|Dokumen Pengelolaan Kinerja Organisasi|0||0|||4|0|00
2026|01|528544|015|08|WA|4715|EBD|22|51|2|Z26|Laporan Keuangan Unit|0||0|||2|0|00
2026|01|528544|015|08|WA|4718|BMB|22|51|2|002|Kehumasan|0||0|||4|0|00
2026|01|528544|015|08|WA|4718|BMB|22|51|2|001|Pembinaan/Edukasi Publik|0||0|||2|0|00
