thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdib|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|kdjnsban|kdctarik|register|carahitung|ket|ket2
2026|01|527488|015|08|WA|4715|EBB|00|05|27|2|004|100|RB|533121|073|A|0|0| |0|Renovasi Rumah Dinas Golongan 1 Unit Tipe C Permanen seluas 131.75 m2|
2026|01|527521|015|08|WA|4715|EBB|00|05|12|2|004|100|GB|533121|131|A|0|0| |0|Renovasi Layout Kantor Seluas 335 M2|
2026|01|527581|015|08|WA|4715|EBB|00|06|53|2|002|100| A|532111|002|A|0|0| |0|Pembelian Peralatan dan Mesin untuk Kantor dan Rumah Dinas Sebanyak 13 Unit|
2026|01|527581|015|08|WA|4715|EBB|00|06|53|2|004|100|RB|533121|002|A|0|0| |0|Renovasi Rumah Negara Golongan I Tipe C Sejumlah 1 Unit (70 m2), Rumah Negara Golongan II Tipe D Sejumlah 4 Unit (200 m2), dan Renovasi Rumah Negara Golongan II Tipe C Sejumlah 1 Unit (70 m2)|
2026|01|527624|015|08|WA|4715|EBB|00|06|07|2|004|100|GB|533121|122|A|0|0| |0|Renovasi 1 unit Gedung Kantor seluas 1.224 m2|
2026|01|527776|015|08|WA|4715|EBB|00|08|55|2|004|100|RB|533121|010|A|0|0| |0|Renovasi Rumah Dinas Gol. II Jl. Raya Nanggalo Gg Ikhlas No. 10 seluas 50 M2|Pembuatan Sumur Bor 3 Paket
2026|01|527844|015|08|WA|4715|EBA|00|09|51|2|001|100| B|522151|008|A|0|0| |0|Honor Narasumber (Dinas PU)|
2026|01|527851|015|08|WA|4715|EBB|00|32|52|2|002|100| A|532111|009|A|0|0| |0|Pengadaan 2 Air Purifier dan 8 Loker Helm untuk Eco Office|Dengan total harga Rp29.600.000
2026|01|528057|015|08|WA|4715|EBB|00|13|51|2|004|100|RB|533121|042|A|0|0| |0|Penambahan Nilai Gedung dan Bangunan|
2026|01|528099|015|08|WA|4715|EBB|00|13|52|2|004|100|RB|533121|093|A|0|0| |0|Renov rumah dinas seluas 72 M2|
2026|01|528476|015|08|WA|4715|EBB|00|21|51|2|004|100|GB|533121|061|A|0|0| |0|Penambahan Backdrop Aula dan Lantai 2 Gedung Kantor Wilayah DJPb Provinsi Maluku|
2026|01|528476|015|08|WA|4715|EBB|00|21|51|2|004|100|GL|533111|061|A|0|0| |0|Pembangunan 1 Unit Town House seluas 254 m2|
2026|01|528544|015|08|WA|4715|EBB|00|22|51|2|004|100|RB|533121|037|A|0|0| |0|Renovasi 3 Unit Rumah Dinas Seluas 136 M2|
2026|01|528590|015|08|WA|4715|EBA|00|23|52|2|994|002| F|521115|071|A|0|0| |0|Tunggakan Honor Desember 2025, berupa Honor Keuangan, Honor TKD, Honor SAI, Honor Pengelola BMN, dan Honor PBJ|
2026|01|528629|015|08|WA|4715|EBB|00|24|51|2|004|100|GL|533111|039|A|0|0| |0|Pembangunan 1 Unit Townhouse seluas 350 m2|
2026|01|528743|015|08|WA|4715|EBB|00|25|07|2|004|100|GB|533121|068|A|0|0| |0|Rehabilitasi Satu Unit Gedung Kantor Seluasu 857 M2|
2026|01|528743|015|08|WA|4715|EBB|00|25|07|2|004|100|RB|533121|068|A|0|0| |0|Pembangunan Satu Unit Mess BPP Seluas 434 M2|
2026|01|528682|015|08|WA|4715|EBB|00|25|51|2|004|100| A|533121|063|A|0|0| |0|Belanja Penambahan Nilai Gedung dan Bangunan| Renovasi 7 Unit Rumah Dinas seluas 150M2
2026|01|528750|015|08|WA|4715|EBB|00|25|10|2|004|100|GB|533121|085|A|0|0| |0|Pembangunan Satu Unit Gedung Kantor Seluas 191 M2|
2026|01|528750|015|08|WA|4715|EBB|00|25|10|2|004|100|RA|533111|085|A|0|0| |0|Pembangunan Mess Seluas 300 M2|
2026|01|539032|015|08|WA|4715|EBB|00|32|51|2|002|100| A|532111|137|A|0|0| |0|Pengadaan Lemari Pegawai untuk Eco Office|Dengan total harga Rp3.220.000
2026|01|579330|015|08|WA|4715|EBB|00|01|54|2|004|100|GB|533121|019|A|0|0| |0|renovasi gedung kantor seluas 2775 M2|
2026|01|613832|015|08|WA|4715|EBB|00|25|12|2|002|100| A|532111|141|A|0|0| |0|Pengadaan Fasilitas Perkantoran sejumlah 29 Unit|
2026|01|613832|015|08|WA|4715|EBB|00|25|12|2|004|100|RC|533111|141|A|0|0| |0|Rekonstruksi 2 unit Rumah Negara Tipe E Plus Seluas 80 M2|
2026|01|613792|015|08|WA|4715|EBB|00|20|51|2|004|100| A|533121|060|A|0|0| |0|Belanja Penambahan Nilai Gedung dan Bangunan Rehabilitasi Rumah Dinas 98 m2|
2026|01|634277|015|08|WA|4715|EBB|41|04|51|2|004|100|GB|533121|030|A|0|0| |0|Renovasi Toilet Kamar Mandi Gedung Kanwil Ditjen Perbendaharaan Prov. D.I. Yogyakarta  81 m2|
2026|01|662787|015|08|WA|4715|EBB|00|28|51|2|004|100|RB|533121|062|A|0|0| |0|Renovasi Rumah Dinas 1 Unit seluas 128m2|
