thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|ursoutput|sbmkvol|sbmksat|sbmkmin1|sbmkket|kdsb|volsout|volsbk|kdib
2026|01|527010|015|08|WA|4711|EBA|01|51|1|Z04|Layanan Bantuan Hukum|0||0|||1|0|00
2026|01|527010|015|08|WA|4715|EBA|01|51|1|001|Kerumahtanggaan|0||0|||12|0|00
2026|01|527010|015|08|WA|4715|EBA|01|51|1|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|527010|015|08|WA|4715|EBA|01|51|1|003|Rencana Kebutuhan BMN dan Pengelolaannya Unit|0||0|||12|0|00
2026|01|527010|015|08|WA|4715|EBA|01|51|1|002|Dukungan Pimpinan dan Keprotokoleran|0||0|||12|0|00
2026|01|527010|015|08|WA|4715|EBB|01|51|1|001|Kendaraan Bermotor|0||0|||1|0|00
2026|01|527010|015|08|WA|4715|EBB|01|51|1|004|Gedung/Bangunan|0||0|||1931|0|00
2026|01|527010|015|08|WA|4715|EBB|01|51|1|002|Peralatan Fasilitas Perkantoran|0||0|||171|0|00
2026|01|527010|015|08|WA|4715|EBD|01|51|1|001|Rencana Kerja dan Anggaran Unit|0||0|||5|0|00
2026|01|527010|015|08|WA|4715|EBD|01|51|1|004|Dokumen Perbendaharaan Unit|0||0|||1|0|00
2026|01|527010|015|08|WA|4715|EBD|01|51|1|Z36|Dokumen Pengelolaan Kinerja Organisasi|0||0|||12|0|00
2026|01|527010|015|08|WA|4715|EBD|01|51|1|Z26|Laporan Keuangan Unit|0||0|||1|0|00
2026|01|527010|015|08|WA|4715|EBD|01|51|1|974|Layanan Penyelenggaraan Kearsipan|0||0|||2|0|00
2026|01|527010|015|08|WA|4718|BMB|01|51|1|001|Pembinaan/Edukasi Publik|0||0|||4|0|00
2026|01|527010|015|08|WA|4718|BMB|01|51|1|003|Implementasi PUG|0||0|||1|0|00
2026|01|527010|015|08|WA|4718|BMB|01|51|1|002|Kehumasan|0||0|||3|0|00
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|Rekomendasi Pengelolaan Organisasi|0||0|||18|0|00
2026|01|527010|015|08|WA|4719|EBA|01|51|1|994|Layanan Perkantoran|0||0|||1|0|00
2026|01|527010|015|08|WA|4719|EBA|01|51|1|007|Implementasi ISO 37001 tentang Sistem Manajemen Anti Penyuapan|0||0|||1|0|00
2026|01|527010|015|08|WA|4719|EBA|01|51|1|004|Hasil Survey/Rekomendasi Kepuasan Pengguna Layanan|0||0|||2|0|00
2026|01|527010|015|08|WA|4719|EBC|01|51|1|001|Pengembangan SDM|0||0|||102|0|00
2026|01|527010|015|08|WA|4719|EBC|01|51|1|004|Pengelolaan Jabatan Fungsional|0||0|||206|0|00
2026|01|527010|015|08|WA|4719|EBC|01|51|1|003|Administrasi Kepegawaian|0||0|||1200|0|00
2026|01|527010|015|08|WA|4722|EBD|01|51|1|001|Rekomendasi Penerapan Pengelolaan Risiko, Pengendalian dan Pengawasan Internal|0||0|||1|0|00
2026|01|527010|015|08|WA|4722|EBD|01|51|1|003|Rekomendasi Kepatuhan Internal|0||0|||1|0|00
2026|01|527010|015|08|WA|4722|EBD|01|51|1|002|Rekomendasi Manajemen Risiko|0||0|||1|0|00
2026|01|527010|015|08|WA|4725|CCL|01|51|1|002|Operational Maintenance Sistem Aplikasi Satker|0||0|||9|0|00
2026|01|527010|015|08|WA|4725|CCL|01|51|1|001|Operational Maintenance Sistem Aplikasi BUN|0||0|||10|0|00
2026|01|527010|015|08|WA|4725|CCL|01|51|1|003|Operational Maintenance Sistem Aplikasi Perbendaharaan|0||0|||6|0|00
2026|01|527010|015|08|WA|4725|FAB|01|51|1|001|Sistem Pengelolaan Data Analitik|0||0|||1|0|00
2026|01|527010|015|08|WA|4725|FAB|01|51|1|002|Sistem Aplikasi BUN|0||0|||3|0|00
2026|01|527010|015|08|WA|4725|FAB|01|51|1|003|Sistem Aplikasi Perbendaharaan|0||0|||1|0|00
2026|01|527010|015|08|WA|4725|FAB|01|51|1|307|Sistem Layanan Platform Pembayaran Pemerintah (PPP) (PU)|0||0|||1|0|00
2026|01|527010|015|08|WA|4725|FAB|01|51|1|006|Sistem Informasi Keuangan Republik Indonesia (SIKRI) Gen. 2|0||0|||1|0|00
2026|01|527010|015|08|WA|4725|FAB|01|51|1|008|Sistem Monev Kinerja Anggaran Belanja K/L Terintegrasi (IKPA dan EKA)|0||0|||2|0|00
2026|01|527010|015|08|WA|4725|FAB|01|51|1|004|Sistem Aplikasi Satker|0||0|||1|0|00
