thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|header1|header2|kdheader|noitem|nmitem|vol1|sat1|vol2|sat2|vol3|sat3|vol4|sat4|volkeg|satkeg|hargasat|jumlah|rphblokir
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002|HP|521111|019|A||||4|Uang Makan Lembur Pengemudi|1.0|ORG|60|HARI|0||0||60.0|OH|30000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002|HP|521111|019|A||||5|Uang Lembur Pramubakti|2.0|ORG|2|JAM|60|HR|0||240.0|OH|13000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002|HP|521111|019|A||||6|Uang Makan Lembur Pramubakti |2.0|ORG|60|HR|0||0||120.0|OH|30000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| L|523121|019|A||||1|Kendaraan Dinas Roda Empat Mini Bus ( Penumpang 14 Orang Kebawah ) |2.0|UNIT|1|THN|0||0||2.0|UNIT|31450000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| L|523121|019|A||||2|Kendaraan Dinas Roda Dua Sepeda Motor|2.0|UNIT|1|THN|0||0||2.0|UNIT|4960000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| L|523121|019|A||||3|Inventaris Kantor|19.0|PEG|0||0||0||19.0|PEG|80000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002|TJ|523121|019|A||||1|Printer|5.0|UNIT|1|THN|0||0||5.0|UNIT|690000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002|TJ|523121|019|A||||2|Scanner|4.0|UNIT|1|THN|0||0||4.0|UNIT|500000|0|0
2027|01|015117|015|08|WA|4715|EBA|01|51|2|994|002|TJ|523121|019|A||||3|P.C. Unit dan Laptop/Notebook|19.0|UNIT|1|THN|0||0||19.0|UNIT|500000|0|0
2027|01|015117|015|08|WA|4715|EBD|01|51|2|Z34|100| A|521211|019|A||||1|CTK - Biaya Kearsipan|1.0|THN|0||0||0||1.0|THN|3084000|0|0
2027|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|511129|019|A||||1|Uang Makan PNS Gol. II|5.0|ORG|21|HARI|12|BLN|0||1260.0|OH|35000|0|0
2027|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|511129|019|A||||2|Uang Makan PNS Gol. III|10.0|ORG|21|HARI|12|BLN|0||2520.0|OH|37000|0|0
2027|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|511129|019|A||||3|Uang Makan PNS Gol. IV|4.0|ORG|21|HARI|12|BLN|0||1008.0|OH|41000|0|0
2027|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A||||1|Uang Lembur PNS Gol. II|5.0|ORG|2|JAM|45|HARI|0||450.0|OJ|24000|0|0
2027|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A||||2|Uang Lembur PNS Gol. III|10.0|ORG|2|JAM|45|HARI|0||900.0|OJ|30000|0|0
2027|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A||||3|Uang Lembur PNS Gol. IV|4.0|ORG|2|JAM|45|HARI|0||360.0|OJ|36000|0|0
2027|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A||||4|Uang Makan Lembur PNS Gol. II|5.0|ORG|45|HARI|0||0||225.0|OH|35000|0|0
2027|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A||||5|Uang Makan Lembur PNS Gol. III|10.0|ORG|45|HARI|0||0||450.0|OH|37000|0|0
2027|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A||||6|Uang Makan Lembur PNS Gol. IV|4.0|ORG|45|HARI|0||0||180.0|OH|41000|0|0
2027|01|015117|015|08|WA|4719|EBC|01|51|2|Z12|100|XC|521211|019|A|01||1|1|Peningkatan Kapasitas SDM|0.0||0||0||0||0.0||0|0|0
2027|01|015117|015|08|WA|4719|EBC|01|51|2|Z12|100|XC|521211|019|A|01|||2|KDM - Konsumsi Makan|24.0|ORG|2|FREK|0||0||48.0|OK|57000|0|0
2027|01|015117|015|08|WA|4719|EBC|01|51|2|Z12|100|XC|521211|019|A|01|||3|KDM - Konsumsi Snack|24.0|ORG|2|FREK|0||0||48.0|OK|24000|0|0
2027|01|015117|015|08|WA|4719|EBC|01|51|2|Z12|100|XC|521211|019|A|01|||4|CTK - Barang Habis Pakai |24.0|ORG|2|FREK|0||0||48.0|OK|50000|0|0
2027|01|015117|015|08|WA|4719|EBC|01|51|2|Z12|100|XC|522151|019|A|01||1|1|Peningkatan Kapasitas SDM|0.0||0||0||0||0.0||0|0|0
2027|01|015117|015|08|WA|4719|EBC|01|51|2|Z12|100|XC|522151|019|A|01|||2|Honor Narasumber|1.0|ORG|2|JAM|3|FREK|0||6.0|OJ|900000|0|0
2027|01|015117|015|08|WA|4719|EBC|01|51|2|Z12|100|XC|524113|019|A|01||1|1|Transport Narasumber dalam rangka Peningkatan Kapasitas SDM|0.0||0||0||0||0.0||0|0|0
2027|01|015117|015|08|WA|4719|EBC|01|51|2|Z12|100|XC|524113|019|A|01|||2|Transport|1.0|ORG|3|FREK|0||0||3.0|OK|170000|0|0
2027|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| A|521211|019|A||||1|KDM - Makan Rapat Pelaksanaan Customer Service dan Helpdesk|0.0||0||0||0||40.0|OH|57000|0|0
2027|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| A|521211|019|A||||2|KDM - Snack Rapat Pelaksanaan Customer Service dan Helpdesk|0.0||0||0||0||40.0|OH|24000|0|0
2027|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| B|521211|019|A||||1|KDM - Makan Panitia Sosialisasi|1.0|KEG|13|ORG|0||0||13.0|OK|57000|0|0
2027|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| B|521211|019|A||||2|KDM - Snack Panitia Sosialisasi|1.0|KEG|13|ORG|0||0||13.0|OK|24000|0|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|521211|019|A||||1|KDM - Konsumsi Makan Kegiatan Penelusuran Selisih Saldo|62.0|ORG|4|KEG|0||0||248.0|OK|57000|0|0
2027|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|521211|019|A||||2|KDM - Konsumsi Snack Kegiatan Penelusuran Selisih Saldo|62.0|ORG|4|KEG|0||0||248.0|OK|24000|0|0
