thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdib|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|kdjnsban|kdctarik|register|carahitung|ket|ket2
2027|01|527289|015|08|WA|4715|EBB|00|03|56|2|971|111|GL|533121|028|A|0|0| |0|Renovasi pagar gedung KPPN Surakarta|
2027|01|527322|015|08|WA|4715|EBB|00|03|09|2|971|111|RB|533121|097|A|0|0| |0|Renovasi Rumah Dinas 100 M2|
2027|01|528171|015|08|WA|4715|EBB|00|15|51|2|971|111|GA|533111|045|A|0|0| |0|Pembangunan GKK Banjarbaru seluas 2400m2|
2027|01|528366|015|08|WA|4715|EBB|00|19|51|2|971|111|RB|533121|136|A|0|0| |0|Renovasi 1 unit Rumah Dinas|
2027|01|528476|015|08|WA|4715|EBB|00|21|51|2|971|111|GL|533111|061|A|0|0| |0|Pembangunan 1 Unit Townhouse |
2027|01|613832|015|08|WA|4715|EBB|00|25|12|2|971|111|RC|533111|141|A|0|0| |0|Rekonstruksi 1 unit Kawasan Rumah Dinas|
