thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|urskmpnen|kdib|kdlokus|reflokus|nmlokus
2026|01|527521|015|08|CD|6213|FAL|05|12|2|003|100|BA|Monev Pelaksanaan Anggaran - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6214|FAL|05|12|2|002|100|AA|Pelaksanaan Pencairan/Penarikan/Pengesahan Dana - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6214|FAL|05|12|2|002|100|AB|Penerbitan/Persetujuan/Rekonsiliasi Rekening/SKPP/Konfirmasi Penerimaan Negara, dll - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6214|FAL|05|12|2|002|100|BA|Pelaksanaan Pencairan/Penarikan/Pengesahan Dana - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6214|FAL|05|12|2|002|100|BB|Penerbitan/Persetujuan/Rekonsiliasi Rekening/SKPP/Konfirmasi Penerimaan Negara, dll - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6215|FAH|05|12|2|003|100|AA|Penyusunan Laporan Keuangan Tingkat Kuasa BUN di Daerah - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6215|FAH|05|12|2|003|100|AB|Koordinasi UAKBUN-D KPPN di Wilayah - KPPN Induk|00||0|0
2026|01|527521|015|08|CD|6215|FAH|05|12|2|003|100|BA|Penyusunan Laporan Keuangan Tingkat Kuasa BUN di Daerah - KPPN Unit|00||0|0
2026|01|527521|015|08|CD|6215|FAH|05|12|2|003|100|BB|Koordinasi UAKBUN-D KPPN di Wilayah - KPPN Unit|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|001|100|AA|TANPA SUB KOMPONEN - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|001|100|AB|Koordinasi Penyusunan ATK PU - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|001|100|BA|TANPA SUB KOMPONEN - KPPN Unit|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|001|100|BB|Koordinasi Penyusunan ATK PU - KPPN Unit|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|994|002|AA|Keperluan Sehari-hari Perkantoran - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|994|002|AB|Langganan Daya dan Jasa - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|994|002|AC|Pelaksanaan Operasional Kantor - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|994|002|AD|Pemeliharaan Peralatan dan Mesin - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|994|002|AE|Pemeliharaan Gedung dan Bangunan - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|994|002|BA|Keperluan Sehari-hari Perkantoran - KPPN Unit|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|994|002|BC|Pelaksanaan Operasional Kantor - KPPN Unit|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|994|002|BD|Pemeliharaan Peralatan dan Mesin - KPPN Unit|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|994|002|TJ|Jasa Pemeliharaan/ Annual Technical Support (ATS)|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|002|100|AA|TANPA SUB KOMPONEN - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|002|100|AB|Monitoring Pejabat/Petugas Pengelola Keuangan - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4715|EBA|05|12|2|002|100|BA|Monitoring Pejabat/Petugas Pengelola Keuangan - KPPN Unit|00||0|0
2026|01|527521|015|08|WA|4715|EBD|05|12|2|Z36|100|AB|Pelaksanaan Manajemen Kinerja, Resiko dan Kepatuhan Internal - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4715|EBD|05|12|2|Z36|100|BB|Pelaksanaan Manajemen Kinerja, Resiko dan Kepatuhan Internal - KPPN Unit|00||0|0
2026|01|527521|015|08|WA|4718|BMB|05|12|2|002|100|AA|TANPA SUB KOMPONEN - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4718|BMB|05|12|2|002|100|BA|TANPA SUB KOMPONEN - KPPN Unit|00||0|0
2026|01|527521|015|08|WA|4718|BMB|05|12|2|001|100|AA|TANPA SUB KOMPONEN - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4718|BMB|05|12|2|001|100|BA|TANPA SUB KOMPONEN - KPPN Unit|00||0|0
2026|01|527521|015|08|WA|4719|EBA|05|12|2|994|001|AA|TANPA SUB KOMPONEN - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4719|EBA|05|12|2|994|001|BA|TANPA SUB KOMPONEN - KPPN Unit|00||0|0
2026|01|527521|015|08|WA|4719|EBA|05|12|2|004|100|AA|Survey Kepuasan Pengguna Layanan - KPPN Induk|00||0|0
2026|01|527521|015|08|WA|4719|EBA|05|12|2|004|100|BA|Survey Kepuasan Pengguna Layanan - KPPN Unit|00||0|0
2026|01|527521|015|08|WA|4719|EBC|05|12|2|001|100|XC|Penyelenggaraan Capacity Building|00||0|0
2026|01|527268|015|08|CD|6212|BMB|03|51|2|001|100| A|Profiling UMKM|00||0|0
2026|01|527268|015|08|CD|6212|BMB|03|51|2|001|100| B|Pemberdayaan UMKM - Sosialisasi/Bimtek/Asistensi dan Bazar/Pojok/Rumah UMKM|00||0|0
2026|01|527268|015|08|CD|6212|BMB|03|51|2|001|100| C|Monitoring dan Evaluasi|00||0|0
2026|01|527268|015|08|CD|6212|BMB|03|51|2|001|100| D|Komunikasi Publik - Bazar/Pojok/Rumah UMKM|00||0|0
2026|01|527268|015|08|CD|6212|FAC|03|51|2|002|100| A|Pembinaan Satker BLU|00||0|0
2026|01|527268|015|08|CD|6212|FAC|03|51|2|002|100| B|Asistensi / Pembinaan Pengelolaan Keuangan BLU Daerah|00||0|0
2026|01|527268|015|08|CD|6212|FAH|03|51|2|003|100| A|Pendampingan Penyusunan dan Penyelesaian Permasalahan Laporan Keuangan UAPPA-W dan BLU|00||0|0
2026|01|527268|015|08|CD|6212|FAH|03|51|2|003|100| B|Sosialisasi dan Bimbingan Teknis UAPPA-W|00||0|0
2026|01|527268|015|08|CD|6212|FAH|03|51|2|002|100| A|Forum Koordinasi dan Rekonsiliasi Data dengan Bank Indonesia|00||0|0
2026|01|527268|015|08|CD|6212|FAH|03|51|2|002|100| B|Pembinaan SAP pada Pemerintah Daerah|00||0|0
2026|01|527268|015|08|CD|6212|FAH|03|51|2|002|100| C|Sosialisasi/Bimtek/Workshop/FGD dengan Pemda|00||0|0
2026|01|527268|015|08|CD|6212|FAL|03|51|2|001|100| A|Sosialisasi Peraturan/Kebijakan Pelaksanaan Anggaran|00||0|0
2026|01|527268|015|08|CD|6212|FAL|03|51|2|001|100| B|Pengkoordinasian Kerjasama Ekonomi dan Keuangan Daerah|00||0|0
2026|01|527268|015|08|CD|6212|FAL|03|51|2|001|100| C|Pembinaan dan Bimtek Pengelolaan Keuangan Daerah|00||0|0
2026|01|527268|015|08|CD|6212|FAL|03|51|2|001|100| D|Penyerahan DIPA|00||0|0
2026|01|527268|015|08|CD|6213|ABA|03|51|2|001|100| A|Penyusunan Analisis Potensi Pembiayaan dan Pelaksanaan MoU DJPb dan PT SMI di Daerah|00||0|0
2026|01|527268|015|08|CD|6213|FAE|03|51|2|009|100| B|Monitoring dan  Evaluasi KUR/Penerusan Pinjaman|00||0|0
2026|01|527268|015|08|CD|6213|FAE|03|51|2|009|100| C|Monev Site Visit Fasilitas Likuiditas Pembiayaan Perumahan (FLPP)|00||0|0
2026|01|527268|015|08|CD|6213|FAE|03|51|2|009|100| D|FGD Analisa Fasilitas Likuiditas Pembiayaan Perumahan (FLPP)|00||0|0
2026|01|527268|015|08|CD|6213|FAE|03|51|2|008|100| A|Koordinasi Pelaksanaan Tugas RCE  ALCo|00||0|0
2026|01|527268|015|08|CD|6213|FAL|03|51|2|003|100| A|Pelaksanaan Spending Review|00||0|0
2026|01|527268|015|08|CD|6213|FAL|03|51|2|003|100| C|Review Pelaksanaan Anggaran|00||0|0
2026|01|527268|015|08|CD|6213|FAL|03|51|2|003|100| D|Monitoring dan Evaluasi Pelaksanaan Anggaran|00||0|0
2026|01|527268|015|08|CD|6213|FAL|03|51|2|003|100| E|Pengumpulan Informasi/Penajaman Data Fiskal Regional/Penyusunan KFR|00||0|0
2026|01|527268|015|08|CD|6213|FAL|03|51|2|003|100| F|Publikasi Kajian Fiskal Regional (Full Cost)|00||0|0
2026|01|527268|015|08|CD|6213|FAL|03|51|2|003|100| G|Pengumpulan Konfirmasi Informasi Pengelolaan Keuangan Daerah dan Penyusunan Profil Keuangan Daerah|00||0|0
2026|01|527268|015|08|CD|6213|FAL|03|51|2|003|100| H|Monitoring atas Dana Transfer dan Dana Desa|00||0|0
2026|01|527268|015|08|CD|6215|FAH|03|51|2|003|100| A|Pembinaan UAKBUN D (KPPN)|00||0|0
2026|01|527268|015|08|CD|6215|FAH|03|51|2|003|100| B|Koordinasi UAKBUN-D (KPPN) (Cross Program)|00||0|0
2026|01|527268|015|08|CD|6215|FAH|03|51|2|001|100| A|Koordinasi Laporan Keuangan Pemerintah Daerah dan/atau BLUD|00||0|0
2026|01|527268|015|08|CD|6215|FAH|03|51|2|001|100| B|Penyusunan Laporan Statistik Keuangan Pemerintah Tingkat Wilayah|00||0|0
2026|01|527268|015|08|CD|6216|FAE|03|51|2|002|100| A|Pelaksanaan Survei Bahan Sumbangan Standar Biaya Masukan|00||0|0
2026|01|527268|015|08|WA|4715|EBA|03|51|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527268|015|08|WA|4715|EBA|03|51|2|001|100| B|KOORDINASI PENYUSUNAN ATK PU|00||0|0
2026|01|527268|015|08|WA|4715|EBA|03|51|2|994|002| A|Keperluan Sehari-hari Perkantoran|00||0|0
2026|01|527268|015|08|WA|4715|EBA|03|51|2|994|002| B|Langganan Daya dan Jasa|00||0|0
2026|01|527268|015|08|WA|4715|EBA|03|51|2|994|002| C|Pelaksanaan Operasional Kantor|00||0|0
2026|01|527268|015|08|WA|4715|EBA|03|51|2|994|002| D|Pemeliharaan Peralatan dan Mesin|00||0|0
2026|01|527268|015|08|WA|4715|EBA|03|51|2|994|002| E|Pemeliharaan Gedung dan Bangunan|00||0|0
2026|01|527268|015|08|WA|4715|EBA|03|51|2|994|002|TJ|Jasa Pemeliharaan/Annual Technical Support (ATS)|00||0|0
2026|01|527268|015|08|WA|4715|EBA|03|51|2|002|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527268|015|08|WA|4715|EBB|03|51|2|004|100|RA|Pembangunan Rumah Dinas|00||0|0
2026|01|527268|015|08|WA|4715|EBD|03|51|2|Z36|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527268|015|08|WA|4715|EBD|03|51|2|Z26|100| A|Rakor Penyusunan Laporan Keuangan Tingkat UAPPA-W (Full Cost)|00||0|0
2026|01|527268|015|08|WA|4718|BMB|03|51|2|002|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527268|015|08|WA|4718|BMB|03|51|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527268|015|08|WA|4719|EBA|03|51|2|003|100| A|Pelaksanaan Supervisi Proses Bisnis KPPN|00||0|0
2026|01|527268|015|08|WA|4719|EBA|03|51|2|003|100| B|Koordinasi Inovasi layanan|00||0|0
2026|01|527268|015|08|WA|4719|EBA|03|51|2|994|001| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527268|015|08|WA|4719|EBA|03|51|2|005|100| A|Monitoring dan Evaluasi Implementasi ISO|00||0|0
2026|01|527268|015|08|WA|4719|EBA|03|51|2|005|100| B|Pelaksanaan Supervisi Teknis Aplikasi|00||0|0
2026|01|527268|015|08|WA|4719|EBC|03|51|2|001|100|XC|Penyelenggaraan Capacity Building|00||0|0
2026|01|527268|015|08|WA|4722|EBD|03|51|2|001|100| A|Pelaksanaan Manajemen Resiko dan Kepatuhan Internal|00||0|0
2026|01|527268|015|08|WA|4722|EBD|03|51|2|001|100| B|Pemantauan Kode Etik dan Kepatuhan Pegawai|00||0|0
2026|01|527322|015|08|CD|6212|BMB|03|09|2|001|100| A|Profiling UMKM|00||0|0
2026|01|527322|015|08|CD|6212|FAC|03|09|2|001|100| A|Training Modul Aplikasi SAKTI|00||0|0
2026|01|527322|015|08|CD|6212|FAC|03|09|2|001|100| B|FGD dan Bimtek Transfer Keuangan Daerah|00||0|0
2026|01|527322|015|08|CD|6212|FAH|03|09|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527322|015|08|CD|6212|FAL|03|09|2|004|100| A|Konsultasi|00||0|0
2026|01|527322|015|08|CD|6212|FAL|03|09|2|004|100| B|Sosialisasi dan Bimbingan Teknis|00||0|0
2026|01|527322|015|08|CD|6212|FAL|03|09|2|004|100| D|Pembinaan Pemda, TKD, dan Penandatanganan BAR|00||0|0
2026|01|527322|015|08|CD|6213|FAC|03|09|2|001|100| A|Pembinaan Jabatan Fungsional Perbendaharaan|00||0|0
2026|01|527322|015|08|CD|6213|FAE|03|09|2|009|100| A|Monev Penyaluran Pembiayaan Ultra Mikro|00||0|0
2026|01|527322|015|08|CD|6213|FAL|03|09|2|003|100| A|Monev Pelaksanaan Anggaran|00||0|0
2026|01|527322|015|08|CD|6214|FAL|03|09|2|002|100| A|Pelaksanaan Pencairan/Penarikan/Pengesahan Dana|00||0|0
2026|01|527322|015|08|CD|6214|FAL|03|09|2|002|100| B|Penerbitan/Persetujuan/Rekonsiliasi Rekening/SKPP/Konfirmasi Penerimaan Negara, dll|00||0|0
2026|01|527322|015|08|CD|6215|FAH|03|09|2|003|100| A|Penyusunan Laporan Keuangan Tingkat Kuasa BUN di Daerah|00||0|0
2026|01|527322|015|08|CD|6215|FAH|03|09|2|003|100| B|Koordinasi UAKBUN-D KPPN di Kanwil|00||0|0
2026|01|527322|015|08|WA|4715|EBA|03|09|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527322|015|08|WA|4715|EBA|03|09|2|001|100| B|KOORDINASI PENYUSUNAN ATK PU|00||0|0
2026|01|527322|015|08|WA|4715|EBA|03|09|2|994|002| A|Keperluan Sehari-hari Perkantoran|00||0|0
2026|01|527322|015|08|WA|4715|EBA|03|09|2|994|002| B|Langganan Daya dan Jasa|00||0|0
2026|01|527322|015|08|WA|4715|EBA|03|09|2|994|002| C|Pelaksanaan Operasional Kantor|00||0|0
2026|01|527322|015|08|WA|4715|EBA|03|09|2|994|002| D|Pemeliharaan Peralatan dan Mesin|00||0|0
2026|01|527322|015|08|WA|4715|EBA|03|09|2|994|002| G|Pemeliharaan Gedung dan Bangunan|00||0|0
2026|01|527322|015|08|WA|4715|EBA|03|09|2|994|002|TJ|Jasa Pemeliharaan/Annual Technical Support (ATS)|00||0|0
2026|01|527322|015|08|WA|4715|EBA|03|09|2|002|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527322|015|08|WA|4715|EBD|03|09|2|Z36|100| B|Pelaksanaan Manajemen Kinerja, Resiko dan Kepatuhan Internal|00||0|0
2026|01|527322|015|08|WA|4718|BMB|03|09|2|002|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527322|015|08|WA|4718|BMB|03|09|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527322|015|08|WA|4719|EBA|03|09|2|994|001| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527322|015|08|WA|4719|EBA|03|09|2|004|100| A|Survey Kepuasan Pengguna Layanan|00||0|0
2026|01|527322|015|08|WA|4719|EBC|03|09|2|001|100|XC|Penyelenggaraan Capacity Building|00||0|0
2026|01|527713|015|08|CD|6212|BMB|07|56|2|001|100| A|Profiling UMKM|00||0|0
2026|01|527713|015|08|CD|6212|FAC|07|56|2|001|100| A|Training Modul Aplikasi SAKTI|00||0|0
2026|01|527713|015|08|CD|6212|FAC|07|56|2|001|100| B|FGD dan Bimtek Transfer Keuangan Daerah|00||0|0
2026|01|527713|015|08|CD|6212|FAH|07|56|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527713|015|08|CD|6212|FAL|07|56|2|004|100| A|Konsultasi|00||0|0
2026|01|527713|015|08|CD|6212|FAL|07|56|2|004|100| B|Sosialisasi dan Bimbingan Teknis|00||0|0
2026|01|527713|015|08|CD|6212|FAL|07|56|2|004|100| D|Pembinaan Pemda, TKD, dan Penandatanganan BA Rekonsiliasi Pajak|00||0|0
2026|01|527713|015|08|CD|6213|FAC|07|56|2|001|100| A|Pembinaan Jabatan Fungsional Perbendaharaan|00||0|0
2026|01|527713|015|08|CD|6213|FAE|07|56|2|009|100| A|Monev Penyaluran Pembiayaan Ultra Mikro|00||0|0
2026|01|527713|015|08|CD|6213|FAL|07|56|2|003|100| A|Monev Pelaksanaan Anggaran|00||0|0
2026|01|527713|015|08|CD|6214|FAL|07|56|2|002|100| A|Pelaksanaan Pencairan/Penarikan/Pengesahan Dana|00||0|0
2026|01|527713|015|08|CD|6214|FAL|07|56|2|002|100| B|Penerbitan/Persetujuan/Rekonsiliasi Rekening/SKPP/Konfirmasi Penerimaan Negara, dll|00||0|0
2026|01|527713|015|08|CD|6215|FAH|07|56|2|003|100| A|Penyusunan Laporan Keuangan Tingkat Kuasa BUN di Daerah|00||0|0
2026|01|527713|015|08|CD|6215|FAH|07|56|2|003|100| B|Koordinasi UAKBUN-D KPPN di Kanwil|00||0|0
2026|01|527713|015|08|WA|4715|EBA|07|56|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527713|015|08|WA|4715|EBA|07|56|2|001|100| B|Koordinasi Penyusunan ATK PU|00||0|0
2026|01|527713|015|08|WA|4715|EBA|07|56|2|994|002| A|Keperluan Sehari-hari Perkantoran|00||0|0
2026|01|527713|015|08|WA|4715|EBA|07|56|2|994|002| B|Langganan Daya dan Jasa|00||0|0
2026|01|527713|015|08|WA|4715|EBA|07|56|2|994|002| C|Pelaksanaan Operasional Kantor|00||0|0
2026|01|527713|015|08|WA|4715|EBA|07|56|2|994|002| D|Pemeliharaan Peralatan dan Mesin|00||0|0
2026|01|527713|015|08|WA|4715|EBA|07|56|2|994|002| G|Pemeliharaan Gedung dan Bangunan|00||0|0
2026|01|527713|015|08|WA|4715|EBA|07|56|2|994|002|TJ|Jasa Pemeliharaan/Annual Technical Support (ATS)|00||0|0
2026|01|527713|015|08|WA|4715|EBA|07|56|2|002|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527713|015|08|WA|4715|EBD|07|56|2|Z36|100| B|Pelaksanaan Manajemen Kinerja, Resiko dan Kepatuhan Internal|00||0|0
2026|01|527713|015|08|WA|4718|BMB|07|56|2|002|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527713|015|08|WA|4718|BMB|07|56|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2026|01|527713|015|08|WA|4719|EBA|07|56|2|994|001| A|TANPA SUB KOMPONEN|00||0|0
